experiment_id,timestamp,model_type,dataset,fold_id,seed,scenario,window_size,alphabet_size,threshold,n_samples,n_anomalies_true,n_anomalies_pred,accuracy,precision,recall,f1,tp,tn,fp,fn,training_time,inference_time,notes
6dfa1c7a,2026-06-03T07:35:23Z,LSTM,SKAB,SKAB_fold_1,42,original,,,0.5,4515,1546,0,0.6576,0.0,0.0,0.0,0,2969,0,1546,9.590518712997437,0.6435747146606445,
3f256a93,2026-06-03T07:35:23Z,1D-CNN,SKAB,SKAB_fold_1,42,original,,,0.5,4515,1546,0,0.6576,0.0,0.0,0.0,0,2969,0,1546,5.396976470947266,0.45998406410217285,
5a205fee,2026-06-03T07:35:23Z,GRU,SKAB,SKAB_fold_1,42,original,,,0.5,4515,1546,0,0.6576,0.0,0.0,0.0,0,2969,0,1546,7.850142478942871,0.762061595916748,
456cb515,2026-06-03T07:35:23Z,LSTM,SKAB,SKAB_fold_2,42,original,,,0.5,4427,1598,0,0.639,0.0,0.0,0.0,0,2829,0,1598,9.590518712997437,0.6968610286712646,
7131730e,2026-06-03T07:35:23Z,1D-CNN,SKAB,SKAB_fold_2,42,original,,,0.5,4427,1598,0,0.639,0.0,0.0,0.0,0,2829,0,1598,5.396976470947266,0.4419283866882324,
d37e1cca,2026-06-03T07:35:23Z,GRU,SKAB,SKAB_fold_2,42,original,,,0.5,4427,1598,0,0.639,0.0,0.0,0.0,0,2829,0,1598,7.850142478942871,0.6030714511871338,
f2801136,2026-06-03T07:35:23Z,LSTM,SKAB,SKAB_fold_3,42,original,,,0.5,4506,1542,0,0.6578,0.0,0.0,0.0,0,2964,0,1542,9.590518712997437,0.721423864364624,
b219530b,2026-06-03T07:35:23Z,1D-CNN,SKAB,SKAB_fold_3,42,original,,,0.5,4506,1542,0,0.6578,0.0,0.0,0.0,0,2964,0,1542,5.396976470947266,0.45132875442504883,
e36932d7,2026-06-03T07:35:23Z,GRU,SKAB,SKAB_fold_3,42,original,,,0.5,4506,1542,0,0.6578,0.0,0.0,0.0,0,2964,0,1542,7.850142478942871,0.794269323348999,
e2f11433,2026-06-03T07:35:23Z,LSTM,SKAB,SKAB_fold_4,42,original,,,0.5,4515,1605,0,0.6445,0.0,0.0,0.0,0,2910,0,1605,9.590518712997437,0.6809027194976807,
02584f1c,2026-06-03T07:35:23Z,1D-CNN,SKAB,SKAB_fold_4,42,original,,,0.5,4515,1605,0,0.6445,0.0,0.0,0.0,0,2910,0,1605,5.396976470947266,0.4414970874786377,
f192c0b4,2026-06-03T07:35:23Z,GRU,SKAB,SKAB_fold_4,42,original,,,0.5,4515,1605,0,0.6445,0.0,0.0,0.0,0,2910,0,1605,7.850142478942871,0.5830261707305908,
cc278f2e,2026-06-03T07:35:23Z,LSTM,SKAB,SKAB_fold_5,42,original,,,0.5,4494,1535,0,0.6584,0.0,0.0,0.0,0,2959,0,1535,9.590518712997437,0.6303939819335938,
e2a1d3e5,2026-06-03T07:35:23Z,1D-CNN,SKAB,SKAB_fold_5,42,original,,,0.5,4494,1535,0,0.6584,0.0,0.0,0.0,0,2959,0,1535,5.396976470947266,0.3930225372314453,
57593108,2026-06-03T07:35:23Z,GRU,SKAB,SKAB_fold_5,42,original,,,0.5,4494,1535,0,0.6584,0.0,0.0,0.0,0,2959,0,1535,7.850142478942871,0.5331716537475586,
5ecf7bff,2026-06-03T07:35:23Z,LSTM,BATADAL,,42,original,,,0.5,833,80,0,0.904,0.0,0.0,0.0,0,753,0,80,9.590518712997437,0.3845047950744629,
b1b450ad,2026-06-03T07:35:23Z,1D-CNN,BATADAL,,42,original,,,0.5,833,80,0,0.904,0.0,0.0,0.0,0,753,0,80,5.396976470947266,0.2575082778930664,
fa46b112,2026-06-03T07:35:23Z,GRU,BATADAL,,42,original,,,0.5,833,80,0,0.904,0.0,0.0,0.0,0,753,0,80,7.850142478942871,0.38127565383911133,
fbaa1d38,2026-06-03T07:35:23Z,ProbabilisticAutomata,SKAB,SKAB_fold_1,42,original,,,0.05,4515,1546,138,0.6483,0.3478,0.031,0.057,48,2879,90,1498,0.07365536689758301,0.02409815788269043,
39bfd914,2026-06-03T07:35:23Z,ProbabilisticAutomata,SKAB,SKAB_fold_2,42,original,,,0.05,4427,1598,36,0.6327,0.1111,0.0025,0.0049,4,2797,32,1594,0.07365536689758301,0.02336406707763672,
a76459ec,2026-06-03T07:35:23Z,ProbabilisticAutomata,SKAB,SKAB_fold_3,42,original,,,0.05,4506,1542,5,0.6567,0.0,0.0,0.0,0,2959,5,1542,0.07365536689758301,0.026371479034423828,
8b0761d4,2026-06-03T07:35:23Z,ProbabilisticAutomata,SKAB,SKAB_fold_4,42,original,,,0.05,4515,1605,40,0.6432,0.425,0.0106,0.0207,17,2887,23,1588,0.07365536689758301,0.024937868118286133,
42a00b07,2026-06-03T07:35:23Z,ProbabilisticAutomata,SKAB,SKAB_fold_5,42,original,,,0.05,4494,1535,24,0.6544,0.125,0.002,0.0038,3,2938,21,1532,0.07365536689758301,0.02389812469482422,
17f1deb5,2026-06-03T07:35:23Z,ProbabilisticAutomata,BATADAL,,42,original,,,0.05,833,80,31,0.8739,0.0968,0.0375,0.0541,3,725,28,77,0.013705968856811523,0.008069515228271484,
1a8c117c,2026-06-03T07:35:36Z,LSTM,SKAB,SKAB_fold_1_noisy,42,noisy,,,0.5,4515,1546,0,0.6576,0.0,0.0,0.0,0,2969,0,1546,9.590518712997437,0.511115550994873,
6454bb01,2026-06-03T07:35:36Z,1D-CNN,SKAB,SKAB_fold_1_noisy,42,noisy,,,0.5,4515,1546,0,0.6576,0.0,0.0,0.0,0,2969,0,1546,5.396976470947266,0.43152594566345215,
e7e7575d,2026-06-03T07:35:36Z,GRU,SKAB,SKAB_fold_1_noisy,42,noisy,,,0.5,4515,1546,0,0.6576,0.0,0.0,0.0,0,2969,0,1546,7.850142478942871,0.7473495006561279,
