dataset,model,suffix,n_samples,n_anomalies_pred,n_anomalies_true,training_time,inference_time,accuracy,precision,recall,f1,tp,tn,fp,fn,seed
SKAB_fold_1,LSTM,seed_42,4515,0,1546,9.590518712997437,0.6435747146606445,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_1,1D-CNN,seed_42,4515,0,1546,5.396976470947266,0.45998406410217285,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_1,GRU,seed_42,4515,0,1546,7.850142478942871,0.762061595916748,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_2,LSTM,seed_42,4427,0,1598,9.590518712997437,0.6968610286712646,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_2,1D-CNN,seed_42,4427,0,1598,5.396976470947266,0.4419283866882324,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_2,GRU,seed_42,4427,0,1598,7.850142478942871,0.6030714511871338,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_3,LSTM,seed_42,4506,0,1542,9.590518712997437,0.721423864364624,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_3,1D-CNN,seed_42,4506,0,1542,5.396976470947266,0.45132875442504883,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_3,GRU,seed_42,4506,0,1542,7.850142478942871,0.794269323348999,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_4,LSTM,seed_42,4515,0,1605,9.590518712997437,0.6809027194976807,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_4,1D-CNN,seed_42,4515,0,1605,5.396976470947266,0.4414970874786377,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_4,GRU,seed_42,4515,0,1605,7.850142478942871,0.5830261707305908,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_5,LSTM,seed_42,4494,0,1535,9.590518712997437,0.6303939819335938,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
SKAB_fold_5,1D-CNN,seed_42,4494,0,1535,5.396976470947266,0.3930225372314453,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
SKAB_fold_5,GRU,seed_42,4494,0,1535,7.850142478942871,0.5331716537475586,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
